,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Aquatic,Semiaquatic,Terrestrial,Scansorial,Subfossorial,Cave_dwelling,Nocturnal,Diurnal,Paedomorphic,Metamorphosizing,Direct_Development,Free_living,No_free_living,Lentic_water,Lotic_water,Both_water,No_larva
1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,amblycephalum,Ambystoma_amblycephalum,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,annulatum,Ambystoma_annulatum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,bishopi,Ambystoma_bishopi,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
4,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,californiense,Ambystoma_californiense,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
5,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,dumerilii,Ambystoma_dumerilii,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
6,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,gracile,Ambystoma_gracile,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
7,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,granulosum,Ambystoma_granulosum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
8,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,jeffersonianum,Ambystoma_jeffersonianum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
9,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,macrodactylum,Ambystoma_macrodactylum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
10,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,maculatum,Ambystoma_maculatum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
11,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,mexicanum,Ambystoma_mexicanum,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
12,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,opacum,Ambystoma_opacum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
13,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,ordinarium,Ambystoma_ordinarium,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no
14,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,rosaceum,Ambystoma_rosaceum,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
15,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,talpoideum,Ambystoma_talpoideum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
16,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,texanum,Ambystoma_texanum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
17,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,tigrinum,Ambystoma_tigrinum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
18,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,means,Amphiuma_means,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
19,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,tridactylum,Amphiuma_tridactylum,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
20,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,davidianus,Andrias_davidianus,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
21,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,japonicus,Andrias_japonicus,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
22,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Cryptobranchus,alleganiensis,Cryptobranchus_alleganiensis,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
23,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,aterrimus,Dicamptodon_aterrimus,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
24,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,copei,Dicamptodon_copei,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
25,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,ensatus,Dicamptodon_ensatus,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
26,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,tenebrosus,Dicamptodon_tenebrosus,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no
27,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,karlschmidti,Batrachuperus_karlschmidti,yes,no,no,no,no,no,NA,NA,no,yes,no,yes,no,no,yes,no,no
28,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,yenyuanensis,Batrachuperus_yenyuanensis,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
29,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,abei,Hynobius_abei,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
30,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,amjiensis,Hynobius_amjiensis,no,no,yes,no,no,no,NA,NA,no,yes,no,yes,no,yes,no,no,no
31,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,chinensis,Hynobius_chinensis,no,no,yes,no,no,no,NA,NA,no,yes,no,yes,no,yes,no,no,no
32,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,kimurae,Hynobius_kimurae,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
33,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,leechii,Hynobius_leechii,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
34,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,lichenatus,Hynobius_lichenatus,no,no,yes,no,no,no,NA,NA,no,yes,no,yes,no,yes,no,no,no
35,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,naevius ,Hynobius_naevius,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
36,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nebulosus,Hynobius_nebulosus,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
37,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nigrescens,Hynobius_nigrescens,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
38,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,sonani,Hynobius_sonani,no,no,yes,no,no,no,NA,NA,no,yes,no,yes,no,no,yes,no,no
39,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,tsuensis,Hynobius_tsuensis,no,no,yes,no,no,no,NA,NA,no,yes,no,yes,no,no,yes,no,no
40,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Liua,shihi,Liua_shihi,yes,no,no,no,no,no,NA,NA,no,yes,no,yes,no,no,yes,no,no
41,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,fischeri,Onychodactylus_fischeri,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
42,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,japonicus,Onychodactylus_japonicus,no,no,yes,no,no,no,NA,NA,no,yes,no,yes,no,no,yes,no,no
43,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Pachyhynobius,shangchengensis,Pachyhynobius_shangchengensis,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
44,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Paradactylodon,mustersi,Paradactylodon_mustersi,yes,no,no,no,no,no,NA,NA,no,yes,no,yes,no,no,yes,no,no
45,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Ranodon,sibiricus,Ranodon_sibiricus,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
46,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Salamandrella,keyserlingii,Salamandrella_keyserlingii,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
47,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,aeneus,Aneides_aeneus,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
48,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,ferreus,Aneides_ferreus,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
49,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,flavipunctatus,Aneides_flavipunctatus,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
50,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,hardii,Aneides_hardii,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes
51,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,lugubris,Aneides_lugubris,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
52,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,niger,Aneides_niger,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
53,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,vagrans,Aneides_vagrans,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
54,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,attenuatus,Batrachoseps_attenuatus,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes
55,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,major,Batrachoseps_major,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes
56,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,nigriventris,Batrachoseps_nigriventris,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes
57,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,pacificus,Batrachoseps_pacificus,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes
58,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,relictus,Batrachoseps_relictus,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes
59,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,altamazonica,Bolitoglossa_altamazonica,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
60,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,engelhardti,Bolitoglossa_engelhardti,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
61,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,lignicolor,Bolitoglossa_lignicolor,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
62,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,marmorea,Bolitoglossa_marmorea,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
63,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,mexicana,Bolitoglossa_mexicana,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
64,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,morio,Bolitoglossa_morio,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
65,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,platydactyla,Bolitoglossa_platydactyla,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
66,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rostrata,Bolitoglossa_rostrata,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
67,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rufescens,Bolitoglossa_rufescens,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
68,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,subpalmata,Bolitoglossa_subpalmata,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
69,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Chiropterotriton,chiropterus,Chiropterotriton_chiropterus,no,no,no,yes,no,no,NA,NA,no,no,yes,no,yes,no,no,no,yes
70,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Chiropterotriton,multidentatus,Chiropterotriton_multidentatus,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
71,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,auriculatus,Desmognathus_auriculatus,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
72,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,brimleyorum,Desmognathus_brimleyorum,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
73,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,conanti,Desmognathus_conanti,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
74,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,fuscus,Desmognathus_fuscus,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
75,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,imitator,Desmognathus_imitator,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
76,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,monticola,Desmognathus_monticola,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
77,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,ochrophaeus,Desmognathus_ochrophaeus,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
78,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,quadramaculatus,Desmognathus_quadramaculatus,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
